distribution,variant,weight,collapsed_coordinate_fraction,coordinate_std_mean,coordinate_std_min,covariance_condition_number,covariance_identity_rmse,effective_rank,linear_probe_r2,predicted_next_state_r2,prediction_mse,seed,sigreg_statistic,train_seconds
bimodal,sigreg,0.002,0.0,0.9719392671047435,0.943065726453285,1.2041101337921247,0.030531533349215996,7.98026356506601,0.981296428170792,0.9715208026720159,0.007708841469138861,0,10.459218978881836,8.89919173810631
bimodal,sigreg,0.002,0.0,0.9820421843713072,0.956413982829834,1.312353377502011,0.032150613967739126,7.969680560153412,0.9058994668989656,0.896526638419676,0.009062858298420906,1,10.156991004943848,8.552170669659972
bimodal,sigreg,0.002,0.0,0.9759427175318894,0.9564778401033794,1.299901177554928,0.032256784414002614,7.973365421016084,0.976908794363118,0.9677782781503752,0.007686931639909744,2,8.98103141784668,8.725987397134304
bimodal,sigreg,0.005,0.0,0.9765107352771747,0.9440589411510251,1.2252965159444282,0.029379802361252642,7.979111432666789,0.9822736027174888,0.9726170474290948,0.009215097874403,0,11.461454391479492,8.863087923265994
bimodal,sigreg,0.005,0.0,0.9735840563141971,0.9456509093114267,1.3051523315956894,0.03302322882479782,7.973221332821562,0.9799614450754894,0.9702401167849777,0.00885979924350977,1,10.632200241088867,8.384517562575638
bimodal,sigreg,0.005,0.0,0.9808183467064224,0.9673460196929653,1.3569668905348278,0.03388801339916144,7.966660020244229,0.9808478252857301,0.9704216808465977,0.008831571787595749,2,9.880324363708496,7.984937240369618
bimodal,sigreg,0.01,0.0,0.9783394203729598,0.9478225530149439,1.2533307547000028,0.030669709392279476,7.975180818249952,0.9807358747819126,0.970671851347052,0.010792765766382217,0,11.92962646484375,9.208405449986458
bimodal,sigreg,0.01,0.0,0.9776498660931763,0.9566273762926396,1.4224732053645668,0.03655268238561208,7.961254086558715,0.9547866839730034,0.9460482774055711,0.011107288300991058,1,10.558357238769531,8.82036639470607
bimodal,sigreg,0.01,0.0,0.9818351635561373,0.9671885713073217,1.369509292541652,0.03439337553588625,7.964987565606697,0.9788855630210054,0.9679556574089445,0.010090691037476063,2,10.076099395751953,8.803630355745554
bimodal,sigreg,0.02,0.0,0.9787592493627316,0.9552546230076508,1.277330336969944,0.03243811407315628,7.971067622403304,0.9783657478417731,0.9680355915814705,0.012423075735569,0,12.01084041595459,8.609799494035542
bimodal,sigreg,0.02,0.0,1.0040678024875593,0.97643753520426,1.3559228019585652,0.034792725635957915,7.962617091362122,0.80217993890985,0.7868916041481968,0.017653577029705048,1,8.645569801330566,8.063762875273824
bimodal,sigreg,0.02,0.0,0.9817215904001817,0.9636331418186584,1.3765240585568632,0.034581900812743004,7.964636932688898,0.9758900095782831,0.9644028017071845,0.011404784396290779,2,10.017000198364258,8.088449504226446
bimodal,sigreg,0.05,0.0,0.9791056640892153,0.955686972241134,1.2919322114637763,0.03343609826848508,7.968636659274349,0.9755798915925586,0.9651155091694325,0.014100393280386925,0,12.066930770874023,9.238023075275123
bimodal,sigreg,0.05,0.0,1.0021454728946844,0.9795101113982562,1.3185710431671775,0.03242913150779948,7.967005241093374,0.8117737796820256,0.7939550853752368,0.020594671368598938,1,8.851821899414062,8.754846525378525
bimodal,sigreg,0.05,0.0,0.9813090960449089,0.9615055041539218,1.37840067466283,0.03463334945820989,7.964749104107481,0.9714582111755001,0.9594409141829435,0.012751263566315174,2,9.927051544189453,8.63276478368789
